,reward,operational_cost,purchased_energy_cost,purchased_energy_battery,purchased_energy_load,sell_back_revenue,energy_demand,energy_load,discharged,purchase_energy,energy_battery_discharged,energy_generated_solar,solar,energy_generated_wind,wind,energy_generated_generator,generator,actions_adjusting_status,soc,solar_irradiance,wind_speed,energy_price_utility_grid
0,-60.86136457765022,0.0,60.86136457765022,0.0,101.43560762941704,0.0,101.43560762941704,101.43560762941704,0,"{'load': 1, 'battery': 1}",0,0.0,2,0.0,0,0,0,"{'solar': 0, 'wind': 0, 'generator': 0}",285.0,0.0711,3.3120000000000003,0.6
1,-234.06720814609807,0.02975816333950617,234.03744998275857,270.0,120.062416637931,0.0,200.50445376484998,270.0,1,"{'load': 1, 'battery': 0}",1,0.19838,1,0.0,1,0,0,"{'solar': 1, 'wind': 1, 'generator': 0}",15.188461,0.7085,4.212,0.6
2,-253.99900568472594,17.988091733333334,236.0109139513926,270.0,123.35152325232103,0.0,144.90109708495106,389.910056,1,"{'load': 1, 'battery': 1}",1,119.91005600000001,0,0.0,0,0,0,"{'solar': 1, 'wind': 0, 'generator': 0}",285.0,428.2502,13.392000000000001,0.6
3,-213.35286995598494,0.0015833333333333333,213.3512866226516,270.0,85.58547770441935,0.0,116.49580772459902,270.0,1,"{'load': 0, 'battery': 1}",1,0.0,1,0.0,0,0,0,"{'solar': 0, 'wind': 0, 'generator': 0}",285.0,368.164,15.408000000000001,0.6
4,-732.8702782716344,3.378401071574536,437.43733070180394,270.0,216.04147855755997,7.945453501744005,212.0343306012801,0.0,1,"{'load': 0, 'battery': 1}",1,0.0,2,39.727267508720026,2,0,0,"{'solar': 0, 'wind': 1, 'generator': 0}",285.0,0.0185,25.776,0.8999999999999999
5,-386.5735651246334,0.0016884660074074074,86.57187665862598,0.0,144.28646109770997,0.0,115.92370465648804,0.0,0,"{'load': 0, 'battery': 1}",0,0.011256,1,0.0,0,0,0,"{'solar': 1, 'wind': 0, 'generator': 0}",285.0,0.0402,22.968,0.6
6,-475.985727322598,0.0,175.98572732259802,232.25909586671597,61.05044967094741,0.0,102.34294678392901,0.0,0,"{'load': 0, 'battery': 0}",0,0.0,0,0.0,1,0,0,"{'solar': 0, 'wind': 0, 'generator': 0}",15.0,0.0773,24.48,0.6
7,-559.5998921946206,0.058737000000000004,259.6194711946206,269.9673086,162.73181005770098,0.07831600000000001,213.745392025079,0.0,0,"{'load': 0, 'battery': 0}",0,0.39158000000000004,2,0.0,0,0,0,"{'solar': 1, 'wind': 0, 'generator': 0}",15.0,1.3985,27.684,0.6
8,-258.2238693931303,0.0015833333333333333,258.222286059797,270.0,160.37047676632838,0.0,117.68347635445201,270.0,1,"{'load': 1, 'battery': 1}",1,0.0,2,0.0,1,0,0,"{'solar': 0, 'wind': 0, 'generator': 0}",285.0,610.6164,6.6240000000000006,0.6
9,-227.82785546123728,0.5334321271063225,228.54583226065563,270.0,110.90972043442603,1.2514089265246804,110.90972043442603,110.90972043442603,0,"{'load': 1, 'battery': 1}",0,0.0,0,6.257044632623401,2,0,0,"{'solar': 0, 'wind': 1, 'generator': 0}",285.0,525.7324,13.068,0.6
10,-417.9055027579012,0.0015833333333333333,417.9039194245679,270.0,194.33768824951997,0.0,202.89360828811004,270.0,1,"{'load': 1, 'battery': 1}",1,0.0,1,0.0,1,0,0,"{'solar': 0, 'wind': 0, 'generator': 0}",285.0,0.0054,3.528,0.8999999999999999
11,-222.522877041156,0.0051869403774074075,222.5176901007786,269.9771772,100.885639634631,0.0,113.99708470717805,270.0,1,"{'load': 0, 'battery': 1}",1,0.024024,1,0.0,2,0,0,"{'solar': 1, 'wind': 0, 'generator': 0}",285.0,0.0858,13.212,0.6
12,-42.8412570332796,0.0,42.8412570332796,0.0,71.40209505546599,0.0,71.40209505546599,71.40209505546599,0,"{'load': 1, 'battery': 1}",0,0.0,0,0.0,0,0,0,"{'solar': 0, 'wind': 1, 'generator': 0}",285.0,0.0842,7.524,0.6
13,-506.6831866326456,0.0,206.68318663264557,270.0,74.471977721076,0.0,149.09619666116106,0.0,1,"{'load': 0, 'battery': 0}",1,0.0,2,0.0,2,0,0,"{'solar': 0, 'wind': 1, 'generator': 0}",15.0,5.1691,3.204,0.6
14,-180.98486704234557,0.0,180.98486704234557,192.37702380000002,109.26442127057598,0.0,109.26442127057598,109.26442127057598,0,"{'load': 1, 'battery': 0}",0,0.0,0,0.0,0,0,0,"{'solar': 0, 'wind': 1, 'generator': 0}",15.0,521.9347,1.0080000000000002,0.6
15,-64.15713923771759,0.0,64.15713923771759,0.0,106.92856539619598,0.0,106.92856539619598,106.92856539619598,0,"{'load': 1, 'battery': 0}",0,0.0,0,0.0,2,0,0,"{'solar': 0, 'wind': 0, 'generator': 0}",285.0,551.771,9.612,0.6
16,-665.0039279595513,2.1442792637831634,367.9050116693757,270.0,138.7833462993064,5.0453629736074435,187.50514547528996,0.0,0,"{'load': 0, 'battery': 0}",0,0.0,1,25.226814868037216,2,0,0,"{'solar': 0, 'wind': 1, 'generator': 0}",285.0,0.6811,19.944,0.8999999999999999
17,-243.70430256233934,0.0015833333333333333,243.702719229006,270.0,136.17119871501,0.0,105.63535151760101,270.0,1,"{'load': 0, 'battery': 1}",1,0.0,0,0.0,1,0,0,"{'solar': 1, 'wind': 1, 'generator': 0}",285.0,0.0,4.392,0.6
18,-369.5263866657798,0.002759399999999999,69.52362726577981,0.0,115.87271210963303,0.0,84.60470942931397,0.018395999999999996,1,"{'load': 0, 'battery': 0}",1,0.018395999999999996,0,0.0,2,0,0,"{'solar': 1, 'wind': 0, 'generator': 0}",15.0,0.0657,7.524,0.6
